n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
20,200,1.0,greater,-4.04,-14.41,-1.37,-1.35,-0.4121,-0.0759,-8.96,50
220,150,1.5,greater,-5.5,-18.52,-1.87,-1.84,-0.4173,-0.0652,-7.16,20
140,200,1.5,greater,-5.31,-12.97,-1.81,-1.77,-0.4265,-0.0499,-7.12,8
140,200,2.0,greater,-5.41,-13.41,-1.84,-1.81,-0.4378,-0.05,-7.12,6
120,100,1.5,greater,-13.3,-61.65,-4.66,-4.44,-0.4421,-0.1778,-27.73,170
180,150,1.0,greater,-5.53,-20.03,-1.88,-1.85,-0.4429,-0.0724,-8.04,28
300,150,1.5,greater,-5.91,-19.76,-2.01,-1.97,-0.4571,-0.0715,-7.76,28
200,150,1.5,greater,-6.29,-21.85,-2.15,-2.1,-0.4851,-0.0818,-6.71,24
20,150,1.5,greater,-5.79,-18.74,-1.97,-1.93,-0.4928,-0.1149,-11.81,92
120,150,1.0,greater,-11.22,-41.19,-3.9,-3.75,-0.4971,-0.1217,-20.34,54
280,150,1.5,greater,-6.41,-21.44,-2.19,-2.14,-0.503,-0.0775,-7.76,22
160,200,2.0,greater,-7.62,-20.74,-2.61,-2.54,-0.504,-0.059,-7.62,8
280,150,2.0,greater,-6.11,-20.38,-2.08,-2.04,-0.5103,-0.0716,-7.64,16
300,150,2.0,greater,-6.17,-20.68,-2.1,-2.06,-0.5136,-0.0727,-7.64,20
160,100,1.0,greater,-18.47,-76.92,-6.59,-6.17,-0.5218,-0.2243,-33.57,264
260,150,2.0,greater,-6.72,-23.21,-2.3,-2.24,-0.5289,-0.0835,-8.04,18
300,200,1.0,greater,-5.83,-21.41,-1.99,-1.95,-0.5602,-0.0694,-6.65,10
40,200,1.0,greater,-7.83,-30.65,-2.69,-2.62,-0.5662,-0.1174,-15.44,42
20,150,1.0,greater,-9.22,-31.87,-3.18,-3.08,-0.5726,-0.1519,-16.54,134
20,200,1.5,greater,-4.89,-16.06,-1.66,-1.63,-0.5743,-0.0909,-6.78,38
80,200,1.0,greater,-9.02,-37.25,-3.11,-3.01,-0.5799,-0.1184,-16.75,22
280,100,1.5,greater,-11.44,-39.5,-3.98,-3.82,-0.5933,-0.1872,-13.99,144
240,150,1.0,greater,-7.93,-28.45,-2.72,-2.65,-0.6021,-0.0993,-10.23,30
300,100,2.0,greater,-11.4,-40.18,-3.96,-3.81,-0.6062,-0.171,-15.39,86
240,150,1.5,greater,-8.02,-28.86,-2.75,-2.68,-0.61,-0.0985,-10.23,22
