Symbol,n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,200,0.8,-1.0,lesser,1.22,60.12,0.41,0.41,0.1118,0.1395,-39.1,19
SPY,40,0.85,-1.0,lesser,-2.2,23.39,-0.74,-0.73,0.0804,0.1027,-34.42,76
SPY,240,0.9,-1.0,lesser,-0.81,30.92,-0.27,-0.27,0.0735,0.0918,-25.45,11
SPY,80,0.85,-1.5,lesser,-3.78,49.18,-1.28,-1.26,0.0578,0.0697,-40.86,33
SPY,200,0.85,-1.0,lesser,-3.09,46.75,-1.04,-1.03,0.0345,0.0431,-35.6,17
SPY,40,0.9,-1.0,lesser,-5.5,24.02,-1.87,-1.84,0.0328,0.0415,-33.76,66
SPY,280,0.85,-1.0,lesser,-3.0,15.54,-1.01,-1.0,0.0311,0.0398,-33.25,15
SPY,80,0.9,-1.0,lesser,-5.69,59.46,-1.94,-1.9,0.03,0.0363,-48.86,29
SPY,260,0.8,-1.0,lesser,-3.31,15.06,-1.12,-1.11,0.0263,0.034,-28.68,17
SPY,180,0.85,-1.0,lesser,-6.72,25.92,-2.3,-2.25,-0.0124,-0.0151,-36.56,22
SPY,100,0.9,-1.0,lesser,-8.6,30.38,-2.96,-2.87,-0.0138,-0.0171,-43.82,27
SPY,180,0.9,-1.5,lesser,-7.24,18.94,-2.48,-2.42,-0.0212,-0.0263,-33.16,14
SPY,240,0.8,-1.0,lesser,-7.42,7.22,-2.54,-2.48,-0.0482,-0.0629,-31.56,17
SPY,40,0.9,-2.0,lesser,-12.53,4.79,-4.37,-4.19,-0.0776,-0.0998,-53.86,28
SPY,280,0.85,-2.0,lesser,-8.64,-21.7,-2.97,-2.89,-0.0957,-0.1202,-33.76,10
SPY,180,0.8,-1.0,lesser,-12.19,1.02,-4.25,-4.07,-0.1081,-0.1334,-37.15,24
SPY,40,0.8,-1.0,lesser,-15.27,-20.17,-5.39,-5.1,-0.1189,-0.1503,-36.46,78
SPY,280,0.85,-1.5,lesser,-10.8,-32.0,-3.75,-3.61,-0.142,-0.1667,-28.15,12
SPY,180,0.85,-1.5,lesser,-14.5,-10.12,-5.1,-4.84,-0.1503,-0.1871,-34.44,14
SPY,100,0.85,-1.0,lesser,-17.19,8.74,-6.11,-5.74,-0.1511,-0.1822,-48.9,33
SPY,160,0.9,-2.0,lesser,-14.99,-20.23,-5.28,-5.01,-0.1556,-0.1884,-33.16,10
SPY,280,0.8,-1.0,lesser,-12.85,-23.45,-4.49,-4.29,-0.162,-0.2094,-36.31,17
SPY,80,0.9,-1.5,lesser,-19.53,-11.08,-7.0,-6.53,-0.1911,-0.2315,-45.25,23
SPY,280,0.8,-1.5,lesser,-13.03,-41.42,-4.56,-4.35,-0.1912,-0.2247,-28.49,12
SPY,160,0.85,-2.0,lesser,-16.93,-28.81,-6.01,-5.66,-0.1918,-0.2325,-33.16,10
SPY,200,0.9,-1.0,lesser,-15.29,-6.39,-5.39,-5.11,-0.1996,-0.2529,-37.25,15
SPY,280,0.8,-2.0,lesser,-13.43,-40.56,-4.7,-4.49,-0.2003,-0.251,-33.76,10
SPY,220,0.9,-2.0,lesser,-12.18,-49.99,-4.25,-4.07,-0.2301,-0.2004,-25.9,3
SPY,160,0.9,-1.5,lesser,-23.11,-25.5,-8.41,-7.72,-0.2748,-0.3252,-38.63,16
SPY,240,0.9,-1.5,lesser,-20.29,-35.29,-7.3,-6.78,-0.3123,-0.3932,-34.56,7
SPY,140,0.9,-1.0,lesser,-26.07,-34.75,-9.6,-8.71,-0.3159,-0.3664,-48.25,18
SPY,100,0.8,-1.0,lesser,-27.45,-29.21,-10.17,-9.17,-0.3354,-0.3973,-54.14,39
SPY,140,0.9,-1.5,lesser,-27.8,-39.34,-10.31,-9.29,-0.3655,-0.434,-43.96,16
SPY,160,0.85,-1.5,lesser,-28.45,-51.63,-10.58,-9.5,-0.3793,-0.446,-39.75,16
SPY,280,0.9,-1.0,lesser,-22.92,-67.1,-8.33,-7.66,-0.3835,-0.4793,-41.1,11
SPY,160,0.8,-1.0,lesser,-28.65,-64.19,-10.67,-9.57,-0.3835,-0.4529,-42.25,22
SPY,120,0.85,-1.5,lesser,-29.13,-47.87,-10.87,-9.73,-0.3839,-0.4512,-42.78,22
SPY,300,0.9,-1.5,lesser,-21.4,-69.99,-7.73,-7.15,-0.3887,-0.4689,-32.06,9
SPY,220,0.85,-2.0,lesser,-22.0,-74.21,-7.97,-7.35,-0.4008,-0.5175,-39.09,6
SPY,160,0.8,-2.0,lesser,-27.41,-84.46,-10.15,-9.16,-0.4032,-0.4914,-36.5,10
SPY,180,0.8,-1.5,lesser,-27.47,-67.38,-10.17,-9.18,-0.411,-0.5124,-40.77,16
SPY,160,0.8,-1.5,lesser,-30.47,-63.75,-11.43,-10.18,-0.421,-0.4946,-39.62,16
SPY,280,0.9,-1.5,lesser,-22.74,-83.52,-8.26,-7.6,-0.4218,-0.486,-31.88,9
SPY,220,0.8,-2.0,lesser,-22.91,-78.8,-8.33,-7.65,-0.4232,-0.5477,-39.36,6
SPY,120,0.9,-1.5,lesser,-31.16,-60.88,-11.73,-10.41,-0.4254,-0.496,-43.36,16
SPY,160,0.9,-1.0,lesser,-30.92,-73.53,-11.63,-10.33,-0.4304,-0.5052,-40.87,20
SPY,240,0.9,-2.0,lesser,-19.82,-79.71,-7.11,-6.62,-0.439,-0.3695,-28.02,4
SPY,200,0.8,-1.5,lesser,-28.26,-72.02,-10.5,-9.44,-0.4744,-0.6014,-46.68,13
SPY,140,0.85,-1.5,lesser,-33.26,-68.32,-12.64,-11.11,-0.4796,-0.5665,-44.24,16
SPY,200,0.85,-2.0,lesser,-25.41,-88.74,-9.33,-8.49,-0.4867,-0.6235,-39.8,8
SPY,120,0.9,-1.0,lesser,-35.17,-74.25,-13.48,-11.75,-0.4941,-0.5846,-51.5,22
SPY,240,0.8,-2.0,lesser,-25.61,-89.18,-9.41,-8.56,-0.4954,-0.6147,-40.34,7
SPY,120,0.8,-1.0,lesser,-35.71,-72.79,-13.72,-11.93,-0.5059,-0.5963,-52.63,28
SPY,200,0.8,-2.0,lesser,-26.45,-94.02,-9.75,-8.84,-0.5138,-0.6588,-40.47,8
SPY,160,0.85,-1.0,lesser,-35.05,-96.09,-13.43,-11.71,-0.52,-0.6107,-42.82,20
SPY,120,0.8,-1.5,lesser,-36.02,-83.25,-13.86,-12.04,-0.5304,-0.6248,-50.0,26
SPY,300,0.9,-1.0,lesser,-28.82,-89.13,-10.74,-9.63,-0.5336,-0.6624,-37.42,9
SPY,120,0.85,-1.0,lesser,-38.27,-93.32,-14.89,-12.79,-0.5628,-0.6615,-49.51,22
SPY,200,0.9,-1.5,lesser,-31.99,-87.36,-12.09,-10.69,-0.582,-0.7415,-38.59,11
SPY,300,0.85,-1.5,lesser,-28.91,-107.5,-10.77,-9.66,-0.5839,-0.6965,-36.91,9
