Symbol,n1,n2,dir_thresh_symmetric,conf_thresh,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,220,40,0.8,-1.5,38.9,118.82,11.6,13.0,0.6781,0.837,-25.27,24
SPY,40,80,0.85,-1.5,49.62,152.75,14.41,16.58,0.672,0.91,-37.05,45
SPY,300,80,0.85,-1.5,37.45,122.19,11.21,12.51,0.6708,0.8087,-25.29,14
SPY,180,120,0.85,-1.5,43.39,110.61,12.8,14.5,0.6688,0.8438,-21.43,13
SPY,180,260,0.85,-1.5,35.38,121.64,10.65,11.82,0.6686,0.7867,-24.65,15
SPY,20,140,0.85,-1.5,46.08,75.57,13.5,15.4,0.6562,0.9465,-42.54,63
SPY,180,60,0.85,-1.5,42.21,106.44,12.48,14.1,0.6556,0.8247,-25.64,15
SPY,200,280,0.9,-1.5,34.42,111.01,10.39,11.5,0.6548,0.7979,-23.91,13
SPY,260,60,0.8,-1.5,35.12,108.84,10.58,11.73,0.6533,0.7816,-25.98,15
SPY,300,60,0.8,-1.5,36.05,120.34,10.83,12.04,0.6518,0.7876,-23.27,16
SPY,240,60,0.85,-1.5,34.75,113.86,10.48,11.61,0.6489,0.7527,-28.03,15
SPY,260,260,0.8,-1.5,34.11,111.4,10.3,11.4,0.6488,0.7611,-21.96,10
SPY,220,120,0.85,-1.5,34.51,113.92,10.41,11.53,0.6478,0.7778,-19.21,9
SPY,200,260,0.9,-1.5,33.62,108.69,10.17,11.23,0.6432,0.7765,-23.91,13
SPY,300,240,0.9,-1.5,33.58,103.15,10.16,11.22,0.6419,0.7433,-19.92,5
SPY,120,260,0.9,-1.5,33.17,107.95,10.04,11.08,0.635,0.739,-24.09,16
SPY,200,100,0.9,-1.5,33.36,106.85,10.1,11.15,0.63,0.7457,-24.01,9
SPY,300,180,0.9,-1.5,31.8,101.45,9.66,10.63,0.6278,0.7221,-20.4,5
SPY,220,260,0.8,-1.5,32.42,109.7,9.84,10.83,0.6257,0.735,-24.65,13
SPY,300,260,0.9,-1.5,32.37,105.17,9.82,10.82,0.6244,0.7225,-19.58,8
SPY,260,200,0.8,-1.5,32.5,107.28,9.86,10.86,0.6235,0.7627,-16.53,10
SPY,220,120,0.8,-1.5,32.62,109.51,9.89,10.9,0.6209,0.7444,-19.21,9
SPY,280,40,0.8,-1.5,34.48,120.48,10.4,11.52,0.6202,0.7705,-21.55,22
SPY,260,80,0.9,-1.5,32.29,101.37,9.8,10.79,0.6147,0.7063,-26.38,7
SPY,140,260,0.9,-1.5,31.62,103.42,9.61,10.56,0.6131,0.7064,-24.74,14
