n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
240,0.85,-2.0,lesser,-16.26,-60.62,-5.76,-5.43,-0.4339,-0.3208,-18.72,10
280,0.7,-2.0,lesser,-18.76,-71.92,-6.71,-6.27,-0.447,-0.3701,-22.33,14
160,0.85,-1.0,lesser,-26.04,-85.02,-9.59,-8.7,-0.4496,-0.3378,-31.46,38
140,0.9,-1.0,lesser,-27.26,-71.43,-10.09,-9.11,-0.4631,-0.3367,-36.24,41
200,0.8,-2.0,lesser,-17.15,-70.51,-6.09,-5.73,-0.4674,-0.3599,-25.09,13
140,0.7,-1.0,lesser,-28.51,-66.65,-10.61,-9.52,-0.4748,-0.3666,-42.14,58
220,0.85,-3.0,lesser,-16.1,-67.41,-5.7,-5.38,-0.4869,-0.2977,-24.58,4
120,0.8,-1.5,lesser,-27.67,-70.55,-10.26,-9.25,-0.488,-0.3473,-40.45,49
220,0.7,-2.5,lesser,-18.68,-79.17,-6.68,-6.24,-0.4946,-0.367,-27.45,13
220,0.8,-1.5,lesser,-21.57,-67.15,-7.8,-7.21,-0.4957,-0.428,-25.11,23
220,0.85,-1.5,lesser,-21.45,-66.77,-7.75,-7.17,-0.4963,-0.4162,-25.96,21
300,0.7,-2.0,lesser,-20.23,-80.0,-7.27,-6.76,-0.4999,-0.4114,-21.55,13
220,0.8,-3.0,lesser,-16.67,-70.1,-5.91,-5.57,-0.5068,-0.3118,-24.96,4
200,0.9,-1.5,lesser,-21.26,-68.74,-7.67,-7.1,-0.5109,-0.4268,-24.67,24
160,0.8,-1.0,lesser,-28.79,-96.83,-10.72,-9.62,-0.513,-0.3899,-35.32,38
300,0.85,-1.5,lesser,-20.33,-80.64,-7.31,-6.79,-0.5155,-0.4018,-24.8,14
120,0.8,-1.0,lesser,-30.6,-74.5,-11.49,-10.22,-0.5227,-0.3962,-45.18,60
300,0.8,-1.0,lesser,-21.62,-75.74,-7.82,-7.22,-0.5262,-0.423,-25.76,18
100,0.7,-1.5,lesser,-29.62,-70.69,-11.07,-9.9,-0.5297,-0.3832,-41.86,68
220,0.7,-3.0,lesser,-17.33,-72.47,-6.16,-5.79,-0.5307,-0.3272,-24.96,4
160,0.9,-1.5,lesser,-29.18,-98.4,-10.89,-9.75,-0.5326,-0.392,-31.3,32
140,0.85,-1.0,lesser,-30.68,-87.89,-11.52,-10.25,-0.5395,-0.4005,-36.52,45
140,0.85,-1.5,lesser,-28.98,-84.61,-10.8,-9.68,-0.5428,-0.3839,-32.86,36
120,0.7,-1.0,lesser,-31.96,-76.91,-12.07,-10.68,-0.5459,-0.423,-47.27,70
140,0.7,-1.5,lesser,-31.3,-78.06,-11.79,-10.46,-0.5773,-0.4159,-38.0,48
240,0.7,-2.0,lesser,-23.07,-92.78,-8.39,-7.71,-0.6007,-0.4708,-28.34,15
160,0.85,-1.5,lesser,-32.13,-114.07,-12.15,-10.73,-0.6087,-0.4495,-34.17,32
120,0.9,-1.5,lesser,-32.77,-108.5,-12.42,-10.95,-0.6393,-0.4227,-39.61,39
300,0.8,-1.5,lesser,-24.57,-100.37,-8.99,-8.21,-0.6501,-0.506,-26.89,14
140,0.8,-1.0,lesser,-35.39,-113.14,-13.58,-11.82,-0.6563,-0.494,-41.41,47
160,0.7,-1.5,lesser,-34.33,-120.4,-13.11,-11.47,-0.6572,-0.5039,-36.3,39
160,0.8,-2.0,lesser,-30.51,-130.4,-11.45,-10.19,-0.6813,-0.5073,-35.88,25
160,0.8,-1.5,lesser,-35.95,-133.56,-13.83,-12.01,-0.7118,-0.5259,-37.87,32
140,0.8,-1.5,lesser,-36.2,-116.15,-13.94,-12.09,-0.7176,-0.5019,-40.2,38
120,0.9,-1.0,lesser,-38.51,-127.48,-14.99,-12.86,-0.7342,-0.5279,-42.6,48
200,0.7,-2.0,lesser,-26.85,-112.57,-9.92,-8.97,-0.767,-0.6159,-29.44,18
160,0.7,-2.0,lesser,-40.57,-185.37,-15.96,-13.56,-1.0022,-0.7488,-44.6,28
