n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
180,0.7,-1.0,lesser,8.84,39.58,2.87,2.95,0.2473,0.2093,-18.34,48
280,0.85,-2.5,lesser,7.2,19.73,2.35,2.4,0.2449,0.1841,-23.71,7
220,0.7,-1.0,lesser,7.97,38.02,2.6,2.66,0.2421,0.2225,-16.11,40
240,0.7,-1.5,lesser,7.89,28.64,2.57,2.64,0.242,0.2128,-17.97,29
20,0.7,-1.0,lesser,8.71,26.25,2.83,2.91,0.2414,0.226,-18.22,419
280,0.8,-2.5,lesser,6.74,17.98,2.2,2.25,0.2333,0.1756,-23.71,7
120,0.8,-2.0,lesser,8.38,42.1,2.72,2.8,0.2321,0.151,-25.44,31
40,0.8,-1.5,lesser,8.27,9.98,2.69,2.76,0.2317,0.1853,-30.21,155
260,0.7,-3.0,lesser,6.62,23.16,2.17,2.21,0.2282,0.1698,-21.31,9
140,0.85,-2.0,lesser,7.82,21.83,2.55,2.61,0.2279,0.1488,-17.65,27
20,0.8,-1.0,lesser,7.79,29.37,2.54,2.6,0.2271,0.2014,-24.0,346
220,0.8,-1.0,lesser,6.46,33.08,2.11,2.16,0.2109,0.1862,-15.12,29
100,0.9,-2.0,lesser,6.65,10.43,2.18,2.22,0.2048,0.1288,-23.11,30
100,0.9,-1.5,lesser,6.69,27.06,2.19,2.24,0.204,0.1409,-23.11,40
280,0.7,-3.0,lesser,5.28,12.95,1.73,1.76,0.1968,0.147,-23.71,7
240,0.8,-1.5,lesser,5.34,26.95,1.75,1.79,0.188,0.1637,-13.83,24
280,0.9,-2.5,lesser,4.89,13.22,1.61,1.63,0.1865,0.1395,-23.71,6
20,0.85,-2.5,lesser,4.42,26.31,1.46,1.48,0.1864,0.0626,-14.56,69
180,0.7,-2.0,lesser,5.52,-6.62,1.81,1.84,0.1861,0.1587,-27.68,24
200,0.9,-1.0,lesser,5.25,39.31,1.72,1.75,0.186,0.1619,-13.77,33
80,0.8,-2.0,lesser,5.24,31.36,1.72,1.75,0.1801,0.115,-23.11,54
160,0.85,-3.0,lesser,3.32,9.21,1.1,1.11,0.1717,0.0838,-11.34,6
160,0.9,-3.0,lesser,3.32,9.21,1.1,1.11,0.1717,0.0838,-11.34,6
160,0.8,-3.0,lesser,3.32,9.21,1.1,1.11,0.1717,0.0838,-11.34,6
20,0.85,-2.0,lesser,4.45,32.11,1.46,1.49,0.1693,0.0933,-21.06,154
20,0.8,-2.0,lesser,4.04,31.93,1.33,1.35,0.1586,0.091,-21.23,158
120,0.7,-2.0,lesser,3.89,25.63,1.28,1.3,0.1554,0.1056,-25.44,39
300,0.85,-3.0,lesser,3.35,8.99,1.11,1.12,0.1466,0.1094,-23.71,6
240,0.85,-1.5,lesser,3.33,24.85,1.1,1.11,0.1435,0.1166,-17.61,20
20,0.8,-2.5,lesser,2.88,21.26,0.95,0.96,0.1394,0.0481,-15.29,73
100,0.8,-1.5,lesser,2.69,21.29,0.89,0.9,0.1351,0.0969,-25.44,56
300,0.8,-3.0,lesser,2.83,7.27,0.94,0.94,0.1327,0.0992,-23.71,6
260,0.85,-1.0,lesser,2.36,16.11,0.78,0.79,0.1208,0.1013,-18.45,26
20,0.7,-2.0,lesser,1.82,14.42,0.6,0.61,0.1115,0.0748,-25.69,209
280,0.85,-1.0,lesser,1.91,12.91,0.63,0.64,0.1105,0.0935,-16.24,22
60,0.8,-1.5,lesser,1.06,25.01,0.35,0.35,0.1053,0.0771,-24.46,94
200,0.7,-1.0,lesser,1.35,22.48,0.45,0.45,0.0998,0.0863,-17.91,47
240,0.85,-3.0,lesser,1.57,7.12,0.52,0.52,0.0982,0.0602,-20.96,4
240,0.9,-3.0,lesser,1.57,7.12,0.52,0.52,0.0982,0.0602,-20.96,4
100,0.85,-1.5,lesser,0.28,9.75,0.09,0.09,0.0921,0.0644,-25.44,46
60,0.85,-1.0,lesser,0.23,12.96,0.08,0.08,0.0908,0.0668,-23.09,111
280,0.9,-1.5,lesser,1.03,6.98,0.34,0.34,0.0882,0.0695,-19.01,16
120,0.7,-2.5,lesser,-0.1,-2.77,-0.03,-0.03,0.0784,0.0443,-23.11,18
80,0.9,-3.0,lesser,0.84,-1.91,0.28,0.28,0.0725,0.0266,-14.77,4
180,0.8,-1.0,lesser,-0.22,16.03,-0.08,-0.07,0.0724,0.0588,-20.55,39
20,0.8,-3.0,lesser,0.2,1.19,0.07,0.07,0.0723,0.0086,-1.25,8
40,0.85,-2.5,lesser,0.19,10.01,0.06,0.06,0.0714,0.033,-20.7,45
140,0.8,-2.0,lesser,-0.47,-6.54,-0.16,-0.16,0.0704,0.0474,-18.28,29
160,0.9,-2.5,lesser,0.49,-3.94,0.16,0.16,0.068,0.0472,-21.64,17
100,0.9,-2.5,lesser,-0.52,-13.31,-0.18,-0.18,0.0639,0.0312,-23.11,14
80,0.9,-2.5,lesser,0.6,0.82,0.2,0.2,0.0627,0.0334,-14.16,20
40,0.9,-2.5,lesser,-0.29,14.45,-0.1,-0.1,0.0576,0.0222,-20.7,34
260,0.9,-1.0,lesser,-0.68,7.2,-0.23,-0.23,0.0482,0.039,-16.24,23
180,0.9,-1.5,lesser,-1.48,7.3,-0.5,-0.49,0.0451,0.0362,-18.81,30
200,0.85,-1.0,lesser,-0.95,16.06,-0.32,-0.32,0.044,0.0371,-15.33,36
40,0.8,-2.5,lesser,-1.16,5.36,-0.39,-0.39,0.0401,0.0186,-20.7,45
180,0.9,-2.5,lesser,-0.59,-1.19,-0.2,-0.2,0.0368,0.0232,-16.14,8
200,0.9,-2.5,lesser,-0.68,0.71,-0.23,-0.23,0.0359,0.0245,-18.1,10
120,0.85,-2.0,lesser,-2.62,1.36,-0.88,-0.88,0.0344,0.0213,-25.44,29
220,0.9,-2.5,lesser,-1.02,-4.87,-0.34,-0.34,0.0279,0.0193,-20.96,6
240,0.9,-2.5,lesser,-0.8,-2.5,-0.27,-0.27,0.0238,0.0149,-20.96,4
240,0.85,-2.5,lesser,-0.8,-2.5,-0.27,-0.27,0.0238,0.0149,-20.96,4
280,0.8,-1.0,lesser,-2.0,-2.2,-0.67,-0.67,0.0189,0.016,-16.59,22
160,0.85,-2.5,lesser,-1.32,-11.78,-0.44,-0.44,0.0157,0.0109,-22.72,17
240,0.7,-2.5,lesser,-1.72,-8.23,-0.58,-0.57,0.0077,0.0053,-20.96,10
60,0.85,-2.5,lesser,-3.48,-3.03,-1.18,-1.16,0.0012,0.0006,-29.11,39
120,0.9,-3.0,lesser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100,0.85,-3.0,lesser,-0.59,-9.33,-0.2,-0.2,-0.0016,-0.0005,-12.15,6
300,0.9,-2.5,lesser,-1.94,-13.69,-0.65,-0.65,-0.0035,-0.0023,-21.4,6
60,0.8,-3.0,lesser,-3.49,-6.76,-1.18,-1.17,-0.0084,-0.0032,-29.11,23
