Symbol,n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
SPY,180,0.9,-1.5,lesser,-2.31,39.87,-0.78,-0.77,0.0618,0.0764,-33.25,16
SPY,100,0.85,-1.0,lesser,-3.64,61.98,-1.23,-1.21,0.0614,0.0727,-41.97,33
SPY,240,0.8,-1.0,lesser,-1.81,30.14,-0.61,-0.61,0.0566,0.0729,-29.75,15
SPY,260,0.8,-1.0,lesser,-2.92,17.24,-0.99,-0.98,0.0347,0.0446,-28.9,17
SPY,240,0.9,-1.0,lesser,-3.72,18.12,-1.26,-1.24,0.0222,0.0276,-25.47,11
SPY,20,0.85,-1.5,lesser,-6.61,-0.87,-2.26,-2.21,0.018,0.0232,-30.64,90
SPY,180,0.85,-1.0,lesser,-5.52,30.64,-1.88,-1.84,0.0094,0.0114,-35.89,22
SPY,120,0.8,-2.0,lesser,-7.41,-9.59,-2.54,-2.47,0.0002,0.0002,-25.44,8
SPY,120,0.85,-2.0,lesser,-7.6,-10.31,-2.61,-2.54,-0.0028,-0.0033,-25.44,8
SPY,280,0.85,-1.0,lesser,-5.17,8.36,-1.76,-1.73,-0.0082,-0.0104,-33.03,15
SPY,40,0.85,-1.0,lesser,-8.54,-0.35,-2.94,-2.85,-0.0108,-0.0138,-34.95,76
SPY,180,0.85,-1.5,lesser,-8.28,17.77,-2.84,-2.77,-0.0373,-0.0461,-33.25,16
SPY,100,0.9,-1.0,lesser,-10.56,24.91,-3.66,-3.53,-0.0418,-0.0515,-44.89,27
SPY,280,0.85,-1.5,lesser,-7.75,-17.46,-2.66,-2.59,-0.0749,-0.0881,-25.8,12
SPY,280,0.8,-1.0,lesser,-9.12,-8.12,-3.14,-3.05,-0.0842,-0.1073,-34.09,15
SPY,40,0.8,-1.0,lesser,-13.81,-18.89,-4.84,-4.61,-0.0927,-0.1183,-35.83,78
SPY,40,0.9,-1.0,lesser,-13.94,-11.61,-4.89,-4.66,-0.0948,-0.1208,-34.69,68
SPY,280,0.85,-2.0,lesser,-8.92,-22.39,-3.07,-2.98,-0.0996,-0.1248,-33.66,10
SPY,100,0.8,-1.0,lesser,-15.01,24.56,-5.29,-5.01,-0.1121,-0.1305,-47.96,41
SPY,200,0.85,-1.0,lesser,-11.31,7.84,-3.93,-3.78,-0.1172,-0.1453,-35.66,15
SPY,80,0.9,-1.5,lesser,-18.23,-0.5,-6.5,-6.09,-0.1656,-0.199,-46.5,25
SPY,280,0.8,-1.5,lesser,-12.56,-39.78,-4.39,-4.2,-0.1782,-0.2093,-28.47,12
SPY,200,0.8,-1.0,lesser,-15.53,-9.75,-5.48,-5.19,-0.1931,-0.2376,-39.2,15
SPY,280,0.8,-2.0,lesser,-13.55,-40.89,-4.75,-4.53,-0.2003,-0.2508,-33.81,10
SPY,200,0.9,-1.0,lesser,-15.65,-7.99,-5.53,-5.23,-0.2038,-0.2582,-37.37,15
SPY,280,0.9,-1.0,lesser,-17.52,-46.76,-6.23,-5.85,-0.2575,-0.3206,-36.84,13
SPY,180,0.8,-1.5,lesser,-21.91,-38.49,-7.93,-7.32,-0.2906,-0.3604,-36.58,18
SPY,160,0.9,-2.0,lesser,-23.63,-56.14,-8.61,-7.9,-0.3185,-0.3823,-35.44,10
SPY,140,0.9,-1.5,lesser,-25.98,-29.71,-9.56,-8.68,-0.3254,-0.3861,-43.61,16
SPY,180,0.8,-1.0,lesser,-23.68,-50.46,-8.63,-7.91,-0.3267,-0.4024,-42.83,24
SPY,240,0.9,-1.5,lesser,-21.84,-43.2,-7.9,-7.3,-0.3426,-0.4314,-34.67,7
SPY,160,0.85,-2.0,lesser,-24.91,-63.06,-9.13,-8.32,-0.3447,-0.4139,-36.26,10
SPY,160,0.9,-1.0,lesser,-28.35,-61.83,-10.54,-9.47,-0.3729,-0.4364,-37.55,20
SPY,220,0.85,-2.0,lesser,-21.69,-72.23,-7.84,-7.25,-0.389,-0.5042,-38.85,6
SPY,300,0.9,-1.5,lesser,-21.94,-73.96,-7.94,-7.33,-0.3978,-0.475,-32.75,9
SPY,220,0.8,-2.0,lesser,-22.56,-76.61,-8.19,-7.54,-0.4103,-0.5328,-39.06,6
SPY,140,0.9,-1.0,lesser,-31.31,-61.18,-11.79,-10.46,-0.4145,-0.4814,-48.27,18
SPY,240,0.9,-2.0,lesser,-19.45,-77.54,-6.97,-6.5,-0.4243,-0.3576,-27.41,4
SPY,280,0.9,-1.5,lesser,-23.51,-87.43,-8.56,-7.85,-0.4366,-0.5031,-32.35,9
SPY,160,0.9,-1.5,lesser,-31.47,-72.71,-11.86,-10.51,-0.4371,-0.5132,-38.79,16
SPY,300,0.9,-1.0,lesser,-25.25,-70.1,-9.27,-8.44,-0.4388,-0.5462,-34.32,9
SPY,140,0.85,-1.5,lesser,-31.61,-58.76,-11.92,-10.56,-0.4393,-0.5184,-43.91,16
SPY,220,0.9,-2.0,lesser,-21.95,-91.88,-7.95,-7.33,-0.4525,-0.4735,-32.24,4
SPY,160,0.85,-1.0,lesser,-32.5,-84.61,-12.31,-10.86,-0.459,-0.5377,-40.05,20
SPY,120,0.85,-1.0,lesser,-34.22,-70.91,-13.06,-11.43,-0.4685,-0.5504,-49.66,24
SPY,160,0.8,-1.0,lesser,-33.85,-91.01,-12.9,-11.31,-0.4882,-0.5721,-42.1,20
SPY,160,0.85,-1.5,lesser,-34.35,-88.89,-13.12,-11.48,-0.4991,-0.5863,-40.11,16
SPY,300,0.85,-1.0,lesser,-28.13,-83.59,-10.45,-9.4,-0.5095,-0.6322,-36.84,9
SPY,240,0.8,-2.0,lesser,-26.36,-93.4,-9.72,-8.81,-0.5098,-0.6315,-40.97,7
SPY,300,0.85,-1.5,lesser,-26.38,-96.22,-9.72,-8.81,-0.5106,-0.6114,-35.76,9
SPY,160,0.8,-1.5,lesser,-37.04,-102.6,-14.32,-12.38,-0.5595,-0.6561,-42.56,16
