n,dir_thresh_symmetric,conf_thresh,conf_mode,Total Return (%),Total Points Captured,CAGR (Compounded Annual Return %),Simple Average Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Total Trades
50,1.0,3.0,greater,-13.67,-37.29,-4.79,-4.57,-0.6113,-0.1926,-16.94,166
30,1.0,2.0,greater,-19.58,-61.74,-7.02,-6.54,-0.6129,-0.3085,-21.25,504
90,1.0,1.0,greater,-29.49,-139.51,-11.02,-9.85,-0.6132,-0.4758,-44.2,1060
100,1.0,2.5,greater,-18.96,-63.76,-6.78,-6.33,-0.6146,-0.2616,-19.68,250
80,1.0,3.0,greater,-15.78,-44.11,-5.58,-5.27,-0.6179,-0.2085,-19.85,170
40,1.0,1.0,greater,-31.08,-134.93,-11.69,-10.38,-0.6379,-0.4933,-45.59,1204
100,1.0,1.0,greater,-30.86,-143.25,-11.6,-10.31,-0.6532,-0.4984,-43.23,1022
200,1.0,1.0,greater,-25.82,-107.96,-9.5,-8.63,-0.6641,-0.4545,-33.41,924
190,1.0,1.0,greater,-27.37,-115.32,-10.13,-9.14,-0.6832,-0.4573,-36.48,940
20,1.0,1.5,greater,-29.27,-109.6,-10.92,-9.78,-0.6842,-0.467,-39.55,954
50,1.0,1.5,greater,-28.43,-127.59,-10.57,-9.5,-0.6869,-0.4597,-40.67,752
180,1.0,1.0,greater,-27.89,-114.03,-10.35,-9.32,-0.6974,-0.4666,-33.06,946
70,1.0,1.5,greater,-30.03,-134.7,-11.25,-10.03,-0.7183,-0.4923,-42.53,756
80,1.0,2.5,greater,-21.23,-72.93,-7.66,-7.09,-0.7264,-0.3101,-21.7,258
70,1.0,2.0,greater,-27.17,-116.08,-10.05,-9.08,-0.7354,-0.4252,-35.59,482
50,1.0,1.0,greater,-33.5,-147.53,-12.74,-11.19,-0.7373,-0.5524,-41.86,1098
100,1.0,3.0,greater,-19.27,-65.44,-6.9,-6.44,-0.739,-0.2677,-19.55,174
40,1.0,2.5,greater,-18.86,-63.66,-6.75,-6.3,-0.7766,-0.3187,-22.54,328
80,1.0,1.0,greater,-36.41,-186.22,-14.04,-12.17,-0.812,-0.6328,-53.11,1066
100,1.0,1.5,greater,-32.7,-146.01,-12.39,-10.93,-0.8224,-0.5339,-39.39,670
70,1.0,2.5,greater,-23.85,-84.8,-8.7,-7.97,-0.8274,-0.3527,-25.42,278
90,1.0,1.5,greater,-34.58,-144.91,-13.22,-11.55,-0.8776,-0.5716,-41.78,706
70,1.0,3.0,greater,-22.36,-75.23,-8.11,-7.47,-0.9207,-0.3185,-23.47,182
80,1.0,2.0,greater,-33.47,-140.89,-12.73,-11.18,-0.9492,-0.5161,-37.08,434
60,1.0,2.5,greater,-25.51,-87.86,-9.37,-8.52,-0.9768,-0.3891,-29.15,292
30,1.0,1.0,greater,-42.94,-179.71,-17.09,-14.35,-1.0107,-0.7513,-55.05,1246
20,1.0,2.0,greater,-30.38,-106.34,-11.39,-10.15,-1.0501,-0.541,-36.47,614
20,1.0,1.0,greater,-45.63,-202.14,-18.42,-15.24,-1.0767,-0.832,-54.39,1352
50,1.0,2.5,greater,-28.72,-105.61,-10.7,-9.6,-1.1532,-0.4562,-31.71,280
80,1.0,1.5,greater,-42.89,-200.95,-17.07,-14.33,-1.185,-0.7659,-49.53,696
20,1.0,2.5,greater,-28.17,-98.87,-10.47,-9.41,-1.3304,-0.4644,-31.18,330
