,open,high,low,close,volume,turnover,bias_q20,liquidity_premium_z_300,position,close_diff,change_rate,executable_position,position_change,gross_strategy_returns,percentage_fees,strategy_returns,cum_returns,gross_point_pnl,point_fees,point_pnl,cum_point_pnl
2020-01-06 10:00:00,293.228996637,293.953649033,293.023906337,293.771346543,5719394.0,1841961177.916,,,0.0,0.5469074679999721,0.001865149677582334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-06 11:00:00,293.762231419,294.017454904,293.579928929,293.762231419,6058424.0,1953043757.559,,,0.0,-0.009115124000004471,-3.102795458875818e-05,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-06 12:00:00,293.762231419,293.962764157,293.634619676,293.862497788,2897325.0,933841959.244,,,0.0,0.1002663689999963,0.00034131810789861383,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-06 13:00:00,293.853382663,294.309138887,293.82603729,294.217987642,3449545.0,1113131812.517,,,0.0,0.35548985400004085,0.0012097149404088903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-06 14:00:00,294.217987642,294.609937994,294.053915402,294.432193067,4391636.0,1418328317.067,,,0.0,0.21420542499998874,0.0007280500649085031,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-06 15:00:00,294.431919613,295.083924467,294.318254011,295.001888347,15089219.0,4878234114.721,,,0.0,0.5696952799999622,0.001934894666461684,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-07 09:00:00,294.436750629,294.68285899,293.725770921,294.026570028,5584320.0,1802246447.5049999,,,0.0,-0.9753183189999959,-0.0033061426300186048,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-07 10:00:00,294.044800277,294.755779986,293.917188535,294.719319488,6354147.0,2051968925.31,,,0.0,0.6927494600000159,0.0023560777515243547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-07 11:00:00,294.715673438,294.910737102,294.17241202,294.263563265,4363259.0,1409141080.657,,,0.0,-0.4557562229999803,-0.001546407693230778,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-07 12:00:00,294.25444814,294.469200473,294.154181771,294.363829634,2800348.0,904149546.758,,,0.0,0.1002663689999963,0.0003407366100223186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-07 13:00:00,294.363829634,294.555247248,294.309138887,294.524985034,3078416.0,994918096.719,,,0.0,0.16115539999998418,0.0005474701161496398,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-07 14:00:00,294.51878675,294.573477496,294.0903759,294.396917536,3038304.0,980965048.415,,,0.0,-0.12806749800000716,-0.0004348272795438035,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-07 15:00:00,294.395732569,294.746664861,293.962764157,294.17241202,9979504.0,3223141955.0360003,,,0.0,-0.22450551599996516,-0.0007625946558103003,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-08 09:00:00,294.363829634,295.19330596,294.117721273,295.093039591,4080881.0,1319607020.083,,,0.0,0.9206275709999545,0.0031295510162840934,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-08 10:00:00,295.083924467,295.311802579,294.309138887,294.701089239,5954885.0,1925904235.027,,,0.0,-0.39195035199998074,-0.0013282263537738315,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-08 11:00:00,294.701089239,296.442078013,294.509671625,296.123048656,11639088.0,3772640817.224,,,0.0,1.4219594169999823,0.004825090469369853,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-08 12:00:00,296.132163781,296.314375119,295.977206665,296.195969652,4390041.0,1426343055.862,,,0.0,0.07292099599999347,0.00024625234790387474,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-08 13:00:00,296.196060803,296.214199901,295.840479798,295.872291582,4132263.0,1340120184.02,,,0.0,-0.3236780699999713,-0.0010927835053943236,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-08 14:00:00,295.872382733,296.451193137,295.849594922,296.442078013,6027358.0,1955292378.334,,,0.0,0.5697864310000114,0.0019257850336489302,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-08 15:00:00,296.442078013,296.952524983,295.53968069,295.740213429,21504579.0,6985746456.473,,,0.0,-0.7018645840000204,-0.0023676280665163585,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,0.0
2020-01-09 09:00:00,297.298899713,297.581468572,296.834028365,297.073300382,5302105.0,1729095783.427,,,0.0,1.33308695300002,0.0045076282915446075,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-01-09 10:00:00,297.075579164,297.663322389,296.888719112,297.633424781,4425137.0,1443449403.445,,,0.0,0.5601243989999602,0.001885475397081171,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
